"Year","avgb","source"
"2010",73393.8829065088,"original"
"2010",70854.5548960367,"original"
"2010",59736.6038729941,"original"
"2010",61498.3583586088,"original"
"2010",73710.565194585,"original"
"2010",53832.5053493791,"original"
"2010",47152.6407948042,"original"
"2010",64973.8910475138,"original"
"2010",86919.6358271744,"original"
"2010",61128.9821305846,"original"
"2010",70102.6036743054,"original"
"2010",52435.939303407,"original"
"2010",66197.0289138682,"original"
"2010",64774.6344420251,"original"
"2010",64829.4337645587,"original"
"2010",52006.4561658699,"original"
"2010",59904.3048522674,"original"
"2010",72315.3545415466,"original"
"2010",59475.9149288056,"original"
"2010",109757.711875477,"original"
"2010",56107.7666707493,"original"
"2010",40111.870203229,"original"
"2010",77509.6860007881,"original"
"2010",80874.0196664383,"original"
"2010",75741.9392575091,"original"
"2010",48599.6966418221,"original"
"2010",77513.2975313363,"original"
"2010",57321.534548036,"original"
"2010",60251.5942132772,"original"
"2010",62759.9365275277,"original"
"2010",55423.4083138875,"original"
"2010",56414.8699402856,"original"
"2010",60043.8011129195,"original"
"2010",57361.9365731159,"original"
"2010",82078.4685842661,"original"
"2010",70021.3101374087,"original"
"2010",61831.8102615705,"original"
"2010",63679.4288033173,"original"
"2010",51346.3707477831,"original"
"2010",58694.4422210527,"original"
"2010",58990.3282288371,"original"
"2010",51499.778629559,"original"
"2010",64304.080237786,"original"
"2010",54628.992330655,"original"
"2010",66462.7667445005,"original"
"2010",70788.8357495586,"original"
"2010",70238.395137211,"original"
"2010",64663.9882253186,"original"
"2010",53589.3136266319,"original"
"2010",89993.8632797883,"original"
"2010",64548.2903762735,"original"
"2010",54287.5941804586,"original"
"2010",49341.436706229,"original"
"2010",56299.5986499711,"original"
"2010",57825.771275769,"original"
"2010",61170.9117005812,"original"
"2010",59141.034837983,"original"
"2010",72876.2127744818,"original"
"2010",80134.3059718328,"original"
"2010",80534.1531361655,"original"
"2010",60868.5521830037,"original"
"2010",59830.2908637413,"original"
"2010",47487.5748222637,"original"
"2010",62435.9985762889,"original"
"2010",83523.6871972401,"original"
"2010",89872.8369708808,"original"
"2010",61169.6726255311,"original"
"2010",60072.5423716832,"original"
"2010",56395.0594906679,"original"
"2010",59798.3069836971,"original"
"2010",56380.2291752009,"original"
"2010",58161.095364815,"original"
"2010",66779.4312170745,"original"
"2010",70250.7563918753,"original"
"2010",73361.9108483566,"original"
"2010",53314.9950979493,"original"
"2010",45853.5239637461,"original"
"2010",48786.1343809676,"original"
"2010",47864.9137911665,"original"
"2010",58122.7643513758,"original"
"2010",59186.4965430114,"original"
"2010",75231.4535187236,"original"
"2010",62119.7328645948,"original"
"2010",83802.7186815361,"original"
"2010",54007.3065744448,"original"
"2010",52254.2395511094,"original"
"2010",63883.5574161774,"original"
"2010",52307.4054115009,"original"
"2010",52654.8405673748,"original"
"2010",40588.8277993316,"original"
"2010",56236.5285236429,"original"
"2010",70233.7796962649,"original"
"2010",57752.8553520033,"original"
"2010",93252.2649841359,"original"
"2010",49116.3380491872,"original"
"2010",64461.4159462955,"original"
"2010",50156.7243995761,"original"
"2010",61846.9329862222,"original"
"2010",70692.9951414545,"original"
"2010",68587.8019472854,"original"
"2010",56883.0005290017,"original"
"2010",69396.904379844,"original"
"2010",55734.2899975459,"original"
"2010",54235.1364723123,"original"
"2010",57150.7803336503,"original"
"2010",90900.2574951055,"original"
"2010",46840.2737772919,"original"
"2010",63008.4734195986,"original"
"2010",84717.7258853677,"original"
"2010",54706.838107458,"original"
"2010",61370.4613391716,"original"
"2010",59828.6859695563,"original"
"2010",66799.892466831,"original"
"2010",46467.8668716694,"original"
"2010",72772.0195937284,"original"
"2010",54219.8284484071,"original"
"2010",48593.4397498082,"original"
"2010",91356.648836353,"original"
"2010",69849.4861464641,"original"
"2010",72940.9235885966,"original"
"2010",48925.4257115794,"original"
"2010",73842.940829617,"original"
"2010",41764.5525617388,"original"
"2010",51502.9810211333,"original"
"2010",56634.7853768082,"original"
"2010",51464.7462091239,"original"
"2010",71896.3919960067,"original"
"2010",66476.3580251366,"original"
"2010",67069.8911856102,"original"
"2010",78583.0892181059,"original"
"2010",47066.8683627773,"original"
"2010",65175.0103464086,"original"
"2010",55869.9374728268,"original"
"2010",61775.4467850158,"original"
"2010",66078.0961481557,"original"
"2010",75272.0282851221,"original"
"2010",52591.4574381959,"original"
"2010",59330.2194318683,"original"
"2010",54857.2889396676,"original"
"2010",59992.1818954717,"original"
"2010",62698.9647297245,"original"
"2010",51774.4856220474,"original"
"2010",48094.3430771949,"original"
"2010",68304.3754818093,"original"
"2010",72688.3488183633,"original"
"2010",60169.6040598617,"original"
"2010",51269.2039863583,"original"
"2010",69028.6980707348,"original"
"2010",69443.7216411894,"original"
"2010",64829.3804443563,"original"
"2010",59550.0024069999,"original"
"2010",76970.3978855478,"original"
"2010",53807.6560305953,"original"
"2010",62608.6996766598,"original"
"2010",69429.0346677473,"original"
"2010",62449.19585703,"original"
"2010",76463.3661501293,"original"
"2010",78412.6700029607,"original"
"2010",59528.5208195259,"original"
"2010",75350.604414027,"original"
"2010",73579.8137190816,"original"
"2010",68036.061286049,"original"
"2010",63373.2648913941,"original"
"2010",90425.3568462497,"original"
"2010",61709.0819880943,"original"
"2010",55790.0763065967,"original"
"2010",70584.0866048253,"original"
"2010",60546.5287874738,"original"
"2010",83679.7711401858,"original"
"2010",71475.6379022523,"original"
"2010",75159.8071469435,"original"
"2010",52158.9666048132,"original"
"2010",76071.2919522215,"original"
"2010",56878.4209211125,"original"
"2010",45646.7116471221,"original"
"2010",70792.006675091,"original"
"2010",62910.2265986843,"original"
"2010",54321.2807133833,"original"
"2010",54604.4800370989,"original"
"2010",63989.7063002901,"original"
"2010",52242.8903664995,"original"
"2010",47091.533497751,"original"
"2010",69169.3164138673,"original"
"2010",57997.824427245,"original"
"2010",42582.9717447034,"original"
"2010",60262.8595685131,"original"
"2010",59956.3644014984,"original"
"2010",62261.6409958923,"original"
"2010",73174.5802493503,"original"
"2010",57378.5928692649,"original"
"2010",55986.5886044672,"original"
"2010",60740.3706102038,"original"
"2010",68817.6524592356,"original"
"2010",58260.0904994351,"original"
"2010",58116.9970183414,"original"
"2010",55025.4124976216,"original"
"2010",56612.5958852297,"original"
"2010",60605.5877940735,"original"
"2010",70285.2065642932,"original"
"2010",54428.0609964196,"original"
"2010",59757.6622200137,"original"
"2010",65405.7919872384,"original"
"2010",54155.564205966,"original"
"2010",53119.3267630954,"original"
"2010",49383.3766297056,"original"
"2010",81248.4679053025,"original"
"2010",57189.025808113,"original"
"2010",70710.1354089572,"original"
"2010",47592.3736092586,"original"
"2010",53143.284703679,"original"
"2010",68384.4307046676,"original"
"2010",48653.0953427177,"original"
"2010",56126.8277308995,"original"
"2010",79326.4477064554,"original"
"2010",52699.0042836915,"original"
"2010",63076.1384226873,"original"
"2010",59696.7575634146,"original"
"2010",61323.8143492523,"original"
"2010",67303.8541437559,"original"
"2010",52375.2012855227,"original"
"2010",63552.5833500764,"original"
"2010",83908.1848360082,"original"
"2010",64273.6450542239,"original"
"2010",76374.5475749867,"original"
"2010",51357.2851379182,"original"
"2010",70660.6878252959,"original"
"2010",46862.1034157156,"original"
"2010",48022.5736531754,"original"
"2010",48167.5191279499,"original"
"2010",72426.3195873324,"original"
"2010",63136.7302209671,"original"
"2010",57091.0719247926,"original"
"2010",59810.4779508752,"original"
"2010",63852.6165722028,"original"
"2010",69906.1501966756,"original"
"2010",61230.602882895,"original"
"2010",56087.0043973304,"original"
"2010",54319.910155098,"original"
"2010",86845.8766043871,"original"
"2010",57039.5600541453,"original"
"2010",67043.4911364228,"original"
"2010",48750.2221326235,"original"
"2010",58673.772446942,"original"
"2010",66837.1013541965,"original"
"2010",75717.4800161699,"original"
"2010",74391.5223069916,"original"
"2010",38169.213918142,"original"
"2010",57653.3601882978,"original"
"2010",58644.8592997365,"original"
"2010",75071.9542910674,"original"
"2010",65261.1410559698,"original"
"2010",64582.8174991078,"original"
"2010",45976.5813852689,"original"
"2010",66746.7007489154,"original"
"2010",72077.3403352405,"original"
"2010",47791.4530829389,"original"
"2010",60971.2004345197,"original"
"2010",46999.8212831889,"original"
"2010",62175.6624744278,"original"
"2010",61820.166643839,"original"
"2010",70940.0829477753,"original"
"2010",63090.2892558949,"original"
"2010",58461.3847013721,"original"
"2010",61000.837694896,"original"
"2010",53950.2446319095,"original"
"2010",74530.9291772391,"original"
"2010",68636.0133527075,"original"
"2010",68824.646323231,"original"
"2010",58163.1751853119,"original"
"2010",51185.3708901314,"original"
"2010",50379.4838445506,"original"
"2010",55859.2640172474,"original"
"2010",68531.2908444545,"original"
"2010",54821.410435669,"original"
"2010",47567.0419985282,"original"
"2010",51163.3132488323,"original"
"2010",60814.4739587639,"original"
"2010",71977.0389793079,"original"
"2010",49710.6729355825,"original"
"2010",59581.8938172378,"original"
"2010",64684.0210387638,"original"
"2010",56800.9638165537,"original"
"2010",53193.2859524875,"original"
"2010",62361.2587665106,"original"
"2010",64769.7805588436,"original"
"2010",65655.5374939987,"original"
"2010",58086.2725775399,"original"
"2010",61819.5819612814,"original"
"2010",60851.2323478375,"original"
"2010",71236.4815354507,"original"
"2010",67340.4089684276,"original"
"2010",47774.8694740291,"original"
"2010",77169.737576606,"original"
"2010",68368.8007810495,"original"
"2010",68187.757579403,"original"
"2010",53060.1527539736,"original"
"2010",71406.539716675,"original"
"2010",68970.1029891754,"original"
"2010",62845.4370129427,"original"
"2010",48600.2950653386,"original"
"2010",66232.1891367382,"original"
"2010",67222.1196483088,"original"
"2010",63516.8356988523,"original"
"2010",66231.3983972523,"original"
